game_date,player_name,team,opponent,minutes,points,rebounds,assists,field_goals_attempted,field_goals_made,three_pa,three_pm,free_throws_attempted,free_throws_made
2024-01-24,Theo Maledon,Cavaliers,Spurs,6.5,11,1.4,2.8,6,2,5,1,3,2
2024-01-24,Markieff Morris,Suns,Celtics,13.9,8,3.6,3.4,9,3,0,0,4,2
2024-01-24,Lou Dort,Warriors,Celtics,28.8,14,4.3,3.6,15,6,2,0,3,2
2024-01-24,Dereck Lively II,76ers,Bucks,18.8,6,2.0,2.2,7,2,3,0,2,1
2024-01-24,LeBron James,Nuggets,Mavericks,36.8,36,8.4,8.4,25,11,10,3,7,5
2024-01-24,Blake Wesley,Bulls,Nets,12.3,6,2.7,0.2,8,3,0,0,0,0
2024-01-24,Jarrett Allen,Raptors,Bulls,24.5,18,7.7,3.8,11,4,6,2,4,3
2024-01-24,Zion Williamson,Nuggets,Clippers,33.1,13,5.3,4.0,8,3,3,1,6,4
2024-01-25,Draymond Green,Raptors,Spurs,29.6,17,6.5,3.7,14,6,3,1,6,4
2024-01-25,Jock Landale,Lakers,Mavericks,15.6,9,1.7,2.6,9,3,5,1,0,0
2024-01-25,Nikola Jokic,Mavericks,Bulls,27.5,18,4.6,2.9,11,5,7,2,4,3
2024-01-25,Herbert Jones,Nets,Raptors,25.7,12,6.4,5.8,10,4,6,1,3,2
2024-01-25,Darius Garland,Bulls,Nets,21.0,8,5.5,2.8,8,3,2,0,3,2
2024-01-25,Spencer Dinwiddie,Nuggets,76ers,32.9,18,3.1,5.4,14,6,6,2,1,0
2024-01-25,Damian Lillard,Mavericks,Spurs,34.2,38,10.6,8.1,20,10,9,3,11,9
2024-01-25,Anfernee Simons,Mavericks,Lakers,23.6,15,3.3,4.7,15,6,2,0,4,3
2024-01-25,Myles Turner,Clippers,Nuggets,22.9,17,3.8,2.1,14,6,6,2,2,1
2024-01-25,Omari Moore,Celtics,Spurs,7.9,11,4.0,2.1,8,3,4,1,3,2
2024-01-25,Markelle Fultz,Cavaliers,Bulls,28.1,20,4.4,5.2,13,5,7,2,6,4
2024-01-26,Greg Brown III,Nets,Heat,7.0,7,1.7,3.6,6,2,3,1,1,0
2024-01-26,Thanasis Antetokounmpo,Suns,Lakers,19.1,7,4.4,0.3,6,2,1,0,4,3
2024-01-26,Scottie Barnes,Clippers,76ers,21.2,20,5.3,5.0,14,5,7,2,6,4
2024-01-26,Luka Doncic,Mavericks,Nets,37.4,42,5.5,4.3,23,11,10,4,10,8
2024-01-26,Jonas Valanciunas,Nets,Heat,27.9,13,6.1,5.8,8,3,5,1,5,4
2024-01-26,Paul George,Bucks,Spurs,29.0,10,3.6,4.3,9,3,3,0,5,4
2024-01-26,Matisse Thybulle,Nets,Bulls,24.3,15,4.1,4.0,13,5,3,1,4,2
2024-01-26,Jeremy Sochan,Clippers,76ers,10.1,6,2.8,0.3,8,2,2,0,3,2
2024-01-27,Evan Mobley,Nets,Clippers,28.0,11,6.4,5.4,8,3,5,1,3,2
2024-01-27,Franz Wagner,Nuggets,Suns,32.8,23,4.0,2.5,15,6,7,2,6,5
2024-01-27,Jrue Holiday,Lakers,Cavaliers,25.5,10,7.3,5.6,8,3,4,1,5,3
2024-01-27,Desmond Bane,76ers,Celtics,22.6,18,7.5,4.5,14,6,5,1,5,3
2024-01-27,Markieff Morris,Spurs,Raptors,10.6,6,2.2,1.5,7,2,3,0,3,2
2024-01-27,James Bouknight,Raptors,Mavericks,15.0,7,3.5,2.4,3,1,4,1,4,2
2024-01-27,Charles Bassey,Clippers,Warriors,19.9,8,2.6,2.9,6,2,3,1,2,1
2024-01-27,Klay Thompson,Lakers,Suns,25.0,17,5.2,5.6,13,5,4,1,6,4
2024-01-27,JaVale McGee,Lakers,Nuggets,17.9,4,3.8,0.9,6,2,2,0,0,0
2024-01-28,Lindell Wigginton,Nets,Nuggets,16.7,4,5.2,2.7,5,1,0,0,4,2
2024-01-28,Tyler Herro,Spurs,76ers,25.7,14,7.7,3.9,10,4,4,1,5,3
2024-01-28,Cameron Payne,Nuggets,Suns,17.9,5,5.6,1.2,7,2,1,0,2,1
2024-01-28,Tyrese Haliburton,Bucks,Bulls,28.6,15,7.8,5.3,13,6,5,1,1,0
2024-01-28,Kristaps Porzingis,Nets,76ers,26.5,17,4.4,5.9,13,5,7,2,5,3
2024-01-28,Rudy Gobert,Raptors,Bulls,21.3,20,5.4,5.1,11,5,6,2,6,4
2024-01-28,Kevin Durant,Clippers,Cavaliers,33.9,31,7.4,7.5,25,11,5,1,10,8
2024-01-28,Leaky Black,Bucks,76ers,18.3,6,4.0,0.3,8,3,0,0,1,0
2024-01-28,Jaden Ivey,Mavericks,Cavaliers,28.8,16,4.4,3.4,14,6,4,1,2,1
2024-01-28,Wesley Matthews,Raptors,76ers,11.9,8,5.9,2.7,10,4,0,0,1,0
2024-01-28,CJ McCollum,Celtics,Clippers,32.9,18,4.5,3.2,14,6,4,1,5,3
2024-01-28,Anfernee Simons,Lakers,76ers,23.2,15,6.0,2.8,13,5,5,1,3,2
2024-01-29,Markelle Fultz,Nets,Lakers,28.4,15,5.3,2.5,15,6,5,1,1,0
2024-01-29,Trae Young,Lakers,Cavaliers,32.7,29,6.7,8.4,18,8,6,2,9,7
2024-01-29,Kyrie Irving,Lakers,Nuggets,32.6,22,7.0,6.1,15,6,7,2,6,4
2024-01-29,Mikal Bridges,Suns,76ers,29.6,22,5.9,4.5,14,6,6,2,6,4
2024-01-29,Damian Lillard,Nuggets,Warriors,35.8,20,7.7,9.3,16,7,5,1,4,3
2024-01-29,Bradley Beal,Heat,Lakers,32.0,18,7.9,4.7,14,6,5,1,5,3
2024-01-29,Kyle Kuzma,Clippers,Mavericks,24.2,14,6.5,5.1,12,5,2,0,5,4
2024-01-29,Grayson Allen,Nuggets,Celtics,16.6,11,3.9,3.9,10,4,2,0,4,2
2024-01-29,Shai Gilgeous-Alexander,Celtics,Bucks,31.0,10,4.1,3.5,10,4,2,0,1,0
2024-01-29,Tyler Herro,Raptors,Cavaliers,22.2,10,7.1,2.9,10,4,4,1,2,1
2024-01-30,Theo Pinson,Heat,Suns,19.0,8,4.4,1.4,10,4,3,0,1,0
2024-01-30,Isaiah Stewart,Cavaliers,Bucks,27.5,16,5.3,2.8,10,4,7,2,3,2
2024-01-30,Mikal Bridges,Spurs,Lakers,28.1,15,4.9,4.1,15,6,3,1,1,0
2024-01-30,Moussa Diabate,Lakers,Bulls,17.9,8,3.4,0.9,5,2,5,1,2,1
2024-01-30,Greg Brown III,Cavaliers,Bulls,12.0,7,4.0,0.0,10,3,2,0,3,1
2024-01-31,Jevon Carter,Heat,Bulls,17.1,2,5.4,3.0,4,1,1,0,1,0
2024-01-31,Brandon Ingram,76ers,Bulls,30.2,23,6.8,3.1,15,6,6,2,6,5
2024-01-31,Donovan Mitchell,Heat,Lakers,34.9,37,9.9,8.9,25,12,8,2,9,7
2024-01-31,Isaiah Todd,Clippers,Cavaliers,15.2,7,2.8,2.0,8,3,1,0,2,1
2024-01-31,Robert Williams III,Nuggets,Bulls,30.3,14,5.9,4.4,9,4,6,2,1,0
2024-01-31,Anfernee Simons,Raptors,Nets,22.4,17,7.4,4.1,14,6,6,1,5,4
2024-02-01,Herbert Jones,Clippers,Heat,20.9,16,6.1,5.7,12,5,4,1,4,3
2024-02-01,Dwight Powell,Bulls,Warriors,19.3,7,6.0,0.4,7,3,2,0,2,1
2024-02-01,Kevin Durant,Lakers,76ers,37.3,39,6.1,4.2,23,10,12,4,9,7
2024-02-01,Pascal Siakam,Clippers,Warriors,22.5,11,6.3,5.4,10,4,4,1,1,0
2024-02-01,Cade Cunningham,Heat,Warriors,30.4,16,6.7,2.3,14,6,4,1,2,1
2024-02-01,Jaden Ivey,Nets,Suns,31.2,13,7.8,2.5,12,5,5,1,1,0
2024-02-01,Herbert Jones,Cavaliers,76ers,23.0,11,4.2,4.7,9,3,3,1,4,2
2024-02-01,Bojan Bogdanovic,Suns,Bulls,28.3,14,4.6,3.3,12,5,4,1,2,1
2024-02-02,Giannis Antetokounmpo,Raptors,Celtics,36.4,38,11.6,9.2,22,11,10,3,9,7
2024-02-02,Tyrese Haliburton,Celtics,Bulls,29.8,13,7.6,5.0,9,3,4,1,5,4
2024-02-02,CJ McCollum,Suns,Nuggets,29.8,11,3.6,3.1,8,3,3,1,3,2
2024-02-02,Jusuf Nurkic,Bucks,Mavericks,23.9,18,7.6,5.5,9,4,6,2,6,4
2024-02-02,JT Thor,Suns,Cavaliers,17.0,7,5.5,2.4,6,2,4,1,3,2
2024-02-02,DeMar DeRozan,Warriors,Clippers,30.6,18,3.4,4.1,13,5,7,2,3,2
2024-02-02,Franz Wagner,Celtics,Bulls,30.1,10,6.0,4.7,11,4,3,0,4,2
2024-02-02,Donovan Mitchell,76ers,Spurs,38.0,38,12.0,9.2,23,10,12,4,6,4
2024-02-02,JaVale McGee,Lakers,Warriors,15.0,8,5.3,1.6,7,3,2,0,4,2
2024-02-02,Tyler Cook,Warriors,Clippers,17.4,5,2.2,3.5,3,1,0,0,3,2
2024-02-02,Grayson Allen,Cavaliers,Bucks,20.4,10,5.2,1.8,7,3,5,1,2,1
2024-02-02,Chimezie Metu,Celtics,Heat,13.5,5,3.5,3.8,7,3,2,0,1,0
2024-02-02,Miles Bridges,Cavaliers,Heat,29.8,18,6.5,5.6,10,4,6,2,3,2
2024-02-02,Damian Lillard,Celtics,Bulls,34.4,25,9.9,9.0,24,10,5,1,6,4
2024-02-02,Buddy Hield,Warriors,Celtics,26.4,11,6.0,4.7,14,5,2,0,2,1
2024-02-02,Scottie Barnes,Mavericks,Bulls,22.8,17,5.3,2.7,13,5,5,1,5,4
2024-02-02,Anfernee Simons,Suns,Celtics,23.8,12,7.8,5.6,13,5,2,0,3,2
2024-02-03,Anthony Davis,Lakers,Raptors,34.0,31,8.3,7.4,19,9,5,2,9,7
2024-02-03,Paolo Banchero,Raptors,Warriors,28.5,24,7.9,3.5,15,7,7,2,6,4
2024-02-03,Bobby Portis,Suns,Cavaliers,25.8,14,4.2,2.2,15,6,2,0,5,3
2024-02-03,Tyler Cook,Spurs,Clippers,16.0,5,4.9,2.1,4,1,3,0,2,1
2024-02-03,Trae Young,Mavericks,Clippers,37.5,37,6.0,8.3,21,9,11,4,9,7
2024-02-03,Garrett Temple,Cavaliers,Suns,19.3,8,1.9,2.6,5,2,1,0,4,2
2024-02-03,Markieff Morris,Mavericks,Cavaliers,12.6,9,2.6,1.3,3,1,5,1,3,2
2024-02-03,Deandre Ayton,Heat,Mavericks,31.8,10,6.1,3.5,14,5,2,0,1,0
2024-02-03,Wesley Matthews,Mavericks,Suns,12.0,9,5.9,0.4,8,3,3,1,1,0
2024-02-04,Theo Pinson,Nets,Bucks,16.5,8,2.2,2.8,9,3,0,0,4,2
2024-02-04,Shai Gilgeous-Alexander,Bulls,Nuggets,30.5,11,3.9,4.6,10,4,3,0,4,3
2024-02-04,Donovan Mitchell,Warriors,Mavericks,36.5,31,6.6,4.8,21,10,7,2,7,5
2024-02-04,Pascal Siakam,Mavericks,Bucks,24.0,20,4.9,5.1,14,5,7,2,6,4
2024-02-04,Jarrett Allen,Heat,Celtics,27.9,17,7.2,5.2,15,6,6,1,5,4
2024-02-04,Charles Bassey,Raptors,Cavaliers,19.8,2,2.4,2.6,3,1,2,0,0,0
2024-02-04,Julius Randle,Cavaliers,Heat,27.2,18,6.2,2.7,9,4,7,2,5,4
2024-02-04,Joe Ingles,Nuggets,Cavaliers,14.6,4,4.6,3.8,5,2,2,0,0,0
2024-02-04,Trey Murphy III,Spurs,Mavericks,29.5,19,6.9,3.7,15,6,4,1,6,4
2024-02-04,Blake Wesley,76ers,Nets,11.9,5,5.2,3.2,6,2,3,0,2,1
2024-02-04,Markelle Fultz,Spurs,Bucks,31.7,14,5.3,3.6,13,6,2,0,6,4
2024-02-04,Devin Booker,Mavericks,Lakers,34.4,33,5.0,4.1,20,9,10,4,5,4
2024-02-04,Myles Turner,76ers,Bulls,26.1,18,4.4,3.5,9,4,6,2,6,4
2024-02-04,Josh Giddey,Nets,Bulls,30.8,15,7.5,5.1,12,4,7,2,2,1
2024-02-04,Joe Ingles,Celtics,Mavericks,15.5,9,3.2,0.3,7,3,4,1,0,0
2024-02-04,James Bouknight,Spurs,Celtics,16.9,6,3.7,2.6,6,2,2,0,3,2
2024-02-05,Mikal Bridges,Bulls,Nuggets,28.8,16,5.4,4.4,13,5,6,2,1,0
2024-02-05,Bryce McGowens,Warriors,Heat,17.0,2,2.8,1.3,4,1,1,0,0,0
2024-02-05,Dereck Lively II,Raptors,Suns,20.3,6,4.0,1.1,6,2,1,0,4,2
2024-02-05,Jaylen Brown,Raptors,Mavericks,34.5,28,10.4,4.9,16,8,10,3,4,3
2024-02-05,Andrew Wiggins,Spurs,Cavaliers,30.2,10,7.8,5.1,11,5,2,0,1,0
2024-02-05,Trae Young,Mavericks,Bucks,37.2,34,11.4,6.7,25,11,9,3,4,3
2024-02-05,Trey Murphy III,Cavaliers,Nuggets,31.0,8,6.7,5.5,9,4,2,0,1,0
2024-02-05,Brandon Ingram,Spurs,Celtics,31.0,16,7.5,5.1,14,6,2,0,5,3
2024-02-05,Lindell Wigginton,Suns,Cavaliers,16.8,4,1.2,0.8,7,2,0,0,4,2
2024-02-05,Tyrese Maxey,76ers,Bucks,33.8,15,4.7,5.6,11,5,4,1,3,2
2024-02-05,CJ McCollum,Nets,Warriors,28.7,15,5.7,2.4,14,6,5,1,1,0
2024-02-05,Draymond Green,Celtics,Suns,31.1,13,6.2,5.2,12,5,2,0,4,3
2024-02-06,Jevon Carter,Mavericks,Nets,18.5,2,4.8,2.4,3,1,1,0,1,0
2024-02-06,Anfernee Simons,Lakers,76ers,24.0,13,3.6,2.4,9,3,3,1,6,4
2024-02-06,Damian Lillard,Mavericks,Bucks,31.0,32,10.1,7.9,20,8,9,3,9,7
2024-02-06,Bobby Portis,Mavericks,76ers,25.4,19,3.3,3.4,11,5,5,1,6,4
2024-02-06,LeBron James,Spurs,Celtics,34.5,37,11.6,4.2,21,9,9,3,12,10
2024-02-06,JaVale McGee,76ers,Nets,16.0,13,4.3,2.9,8,3,3,1,3,2
2024-02-06,Theo Pinson,Suns,Mavericks,21.5,4,4.8,3.7,6,2,0,0,1,0
2024-02-06,Scottie Barnes,Cavaliers,Raptors,23.0,7,5.1,5.8,8,3,2,0,2,1
2024-02-06,Jayson Tatum,Nuggets,Clippers,31.6,34,6.2,8.6,25,11,9,2,7,6
2024-02-06,Kyrie Irving,Suns,Mavericks,36.2,35,11.7,9.6,24,11,10,3,5,4
2024-02-06,Fred VanVleet,Nuggets,Bucks,30.9,13,3.2,4.8,9,3,4,1,6,4
2024-02-07,Jrue Holiday,Warriors,Nets,28.9,19,7.6,5.6,14,6,4,1,6,4
2024-02-07,Ish Wainright,Lakers,76ers,16.2,6,2.2,2.4,8,3,1,0,1,0
2024-02-07,Luka Doncic,Warriors,Heat,32.9,34,9.2,7.0,17,8,11,3,11,9
2024-02-07,Jerami Grant,Suns,Bucks,32.1,18,5.0,3.4,13,5,7,2,3,2
2024-02-07,Terry Rozier,Heat,76ers,30.9,16,3.9,4.2,14,6,2,0,5,4
2024-02-07,Gordon Hayward,Cavaliers,Bulls,32.0,13,7.2,2.8,9,4,3,1,3,2
2024-02-07,Matisse Thybulle,Celtics,Warriors,20.4,17,4.9,4.1,12,4,6,2,5,3
2024-02-07,Stephen Curry,Bulls,Clippers,36.6,29,10.6,8.6,16,7,12,4,4,3
2024-02-07,Jonas Valanciunas,Warriors,Nets,28.4,19,6.2,2.5,13,5,5,1,6,4
2024-02-07,Jalen Brunson,Heat,Celtics,22.6,17,3.6,4.8,12,5,5,1,5,3
2024-02-07,Dereck Lively II,Mavericks,76ers,17.6,2,4.7,1.4,3,1,2,0,1,0
2024-02-07,Donovan Mitchell,Suns,Clippers,36.0,30,11.5,8.5,21,10,7,2,6,4
2024-02-07,Draymond Green,Cavaliers,Bulls,32.0,15,3.6,4.3,12,4,5,1,6,5
2024-02-07,Andrew Wiggins,Celtics,Suns,31.3,13,3.9,4.9,8,3,7,2,2,1
2024-02-07,Julius Randle,Cavaliers,Bulls,29.2,11,6.7,3.8,11,5,3,0,2,1
2024-02-08,P.J. Washington,Cavaliers,Clippers,11.5,5,4.8,1.7,4,1,3,1,1,0
2024-02-08,LeBron James,Celtics,Bucks,34.5,36,6.9,8.4,16,7,11,4,12,10
2024-02-08,Devin Booker,Suns,Clippers,34.6,30,11.8,5.2,16,8,7,2,10,8
2024-02-08,Kendall Brown,Lakers,Spurs,12.9,13,4.3,2.5,10,4,4,1,4,2
2024-02-08,Paolo Banchero,Lakers,Celtics,24.6,16,7.3,5.2,11,4,7,2,3,2
2024-02-08,Zach LaVine,Suns,Celtics,23.4,9,6.5,3.2,9,4,2,0,2,1
2024-02-08,AJ Green,Spurs,Clippers,16.8,13,4.0,3.9,10,3,4,1,3,2
2024-02-09,Damian Lillard,76ers,Nuggets,31.8,21,7.5,5.6,16,7,5,1,6,5
2024-02-09,Drew Eubanks,Raptors,Mavericks,19.7,11,5.9,3.7,9,4,5,1,3,2
2024-02-09,Keita Bates-Diop,Mavericks,Cavaliers,17.0,6,5.4,1.6,8,3,0,0,1,0
2024-02-09,Chris Livingston,Nets,Celtics,15.7,7,2.9,2.1,5,2,5,1,0,0
2024-02-09,Luka Doncic,Cavaliers,Lakers,32.3,28,5.7,6.2,22,9,6,2,8,6
2024-02-09,Paolo Banchero,Bucks,Spurs,26.3,14,3.3,5.3,14,5,3,0,5,3
2024-02-09,Devin Vassell,Suns,Clippers,32.3,16,7.0,4.5,11,4,7,2,3,2
2024-02-09,Richaun Holmes,Bucks,Raptors,14.6,7,4.1,0.0,10,3,1,0,4,3
2024-02-10,Al Horford,76ers,Nets,29.9,11,7.9,3.8,11,4,4,1,1,0
2024-02-10,Jimmy Butler,Warriors,76ers,33.5,43,6.2,5.2,23,12,12,5,6,4
2024-02-10,Jaden Ivey,Nuggets,Nets,31.6,20,6.8,3.1,14,6,6,2,3,2
2024-02-10,Darius Bazley,Mavericks,Cavaliers,18.1,9,5.7,3.1,10,3,2,0,4,3
2024-02-10,Kawhi Leonard,Suns,Lakers,30.7,18,7.0,3.6,15,6,3,1,5,3
2024-02-10,Amari Bailey,Cavaliers,Celtics,10.2,3,4.3,1.2,3,1,1,0,3,2
2024-02-10,Cade Cunningham,Spurs,Bucks,30.8,20,6.4,4.9,12,5,7,2,5,4
2024-02-10,Al Horford,Lakers,Suns,29.0,12,3.2,3.6,9,3,4,1,4,3
2024-02-10,Rudy Gobert,Mavericks,Heat,22.2,11,3.9,5.0,12,4,4,1,1,0
2024-02-10,Thanasis Antetokounmpo,Suns,Heat,18.0,11,3.6,2.6,10,4,3,1,0,0
2024-02-11,Anfernee Simons,Spurs,Heat,22.5,9,4.9,3.7,9,3,3,0,5,3
2024-02-11,Blake Wesley,Bucks,76ers,12.8,3,2.7,2.4,3,1,0,0,0,0
2024-02-11,Jerami Grant,Mavericks,Lakers,30.1,16,4.6,2.7,15,7,2,0,3,2
2024-02-11,Deandre Ayton,Nets,Warriors,30.3,10,5.8,2.5,9,3,3,0,6,4
2024-02-11,Derrick White,Mavericks,Bucks,29.8,17,7.4,4.7,15,6,4,1,3,2
2024-02-11,Caris LeVert,Celtics,Spurs,28.7,14,4.4,5.7,12,5,2,0,3,2
2024-02-11,Aaron Gordon,Warriors,Cavaliers,31.0,18,3.3,3.5,11,5,6,1,6,4
2024-02-11,Isaiah Stewart,Heat,Nets,30.7,20,3.4,3.1,15,7,7,2,1,0
2024-02-11,Tyler Herro,Nets,76ers,26.1,17,5.0,2.2,11,5,3,1,6,4
2024-02-11,Kevin Durant,Nuggets,Nets,38.2,35,10.9,5.6,20,8,8,3,12,10
2024-02-11,Thanasis Antetokounmpo,Cavaliers,Celtics,18.7,5,4.7,3.6,5,2,0,0,0,0
2024-02-11,Andrew Wiggins,Bulls,Celtics,30.6,17,6.2,5.4,10,4,6,2,5,3
2024-02-11,Charles Bassey,Cavaliers,Nuggets,19.0,10,2.0,0.6,9,3,4,1,4,2
2024-02-11,OG Anunoby,Bulls,Mavericks,26.3,15,3.6,3.5,11,4,3,1,5,4
2024-02-11,Jrue Holiday,Celtics,Clippers,25.2,14,5.5,2.4,10,4,7,2,1,0
2024-02-11,Mikal Bridges,Nuggets,Bulls,28.5,9,8.0,2.9,8,3,5,1,1,0
2024-02-11,Jaylen Brown,Suns,Bulls,36.1,41,7.0,7.2,25,13,9,3,8,6
2024-02-11,Brook Lopez,Raptors,Mavericks,24.1,14,7.5,5.7,14,6,2,0,3,2
2024-02-12,Desmond Bane,Nuggets,Mavericks,21.7,12,3.4,5.3,11,4,5,1,2,1
2024-02-12,Theo Maledon,Clippers,Spurs,9.6,11,4.4,1.2,9,3,3,1,3,2
2024-02-12,Trae Young,Clippers,Raptors,34.9,35,9.5,4.1,22,10,11,4,4,3
2024-02-12,Deandre Ayton,Nuggets,Bulls,30.6,18,7.1,2.0,11,5,5,1,6,4
2024-02-12,Bobby Portis,Heat,Nets,27.6,9,7.1,2.0,8,3,5,1,1,0
2024-02-12,Donovan Mitchell,Suns,Spurs,36.1,39,6.8,6.4,21,10,12,4,10,7
2024-02-12,Nick Richards,Warriors,Lakers,16.6,11,5.9,0.3,9,3,3,1,3,2
2024-02-12,Jalen Green,Cavaliers,Raptors,27.4,16,3.4,5.8,13,6,6,1,3,2
2024-02-12,Jalen Brunson,Bucks,Clippers,25.7,23,6.5,2.3,15,7,7,2,4,3
2024-02-12,Josh Giddey,Clippers,Bucks,28.9,15,4.3,2.9,14,6,4,1,1,0
2024-02-12,LaMelo Ball,Bulls,Bucks,30.5,13,4.6,5.3,9,3,4,1,6,4
2024-02-13,James Bouknight,Celtics,Bulls,20.6,4,2.0,2.6,3,1,0,0,3,2
2024-02-13,Paul George,Cavaliers,Bulls,31.7,15,4.1,5.4,15,6,2,0,4,3
2024-02-13,Kyrie Irving,Suns,76ers,33.5,42,8.1,6.2,23,12,11,3,12,9
2024-02-13,Trae Young,Heat,Clippers,38.0,28,5.5,4.9,17,7,11,3,7,5
2024-02-13,Tyrese Haliburton,Nuggets,Raptors,29.3,15,4.0,2.2,12,5,5,1,3,2
2024-02-13,Garrett Temple,Lakers,Nets,17.8,7,5.8,1.8,6,2,3,0,4,3
2024-02-13,Cameron Payne,Bucks,Suns,20.0,6,1.7,2.8,8,3,1,0,1,0
2024-02-13,Theo Maledon,Warriors,Bulls,12.0,6,3.2,3.7,5,2,3,0,1,0
2024-02-13,Jarrett Allen,Bulls,Cavaliers,26.0,12,5.5,3.8,8,3,5,1,5,3
2024-02-14,Andrew Wiggins,Nets,Warriors,34.0,13,6.1,2.6,15,6,2,0,2,1
2024-02-14,Zion Williamson,Spurs,Warriors,33.4,12,7.4,2.7,9,3,3,1,4,3
2024-02-14,Garrett Temple,Mavericks,Lakers,15.8,9,4.2,3.3,9,3,4,1,3,2
2024-02-14,Jalen Green,Nuggets,Lakers,24.6,16,6.2,3.9,14,5,5,1,5,3
2024-02-14,Devonte Graham,Lakers,Bulls,12.3,8,5.2,3.2,10,3,0,0,4,2
2024-02-14,Kai Jones,Mavericks,Celtics,14.2,8,4.6,1.2,8,3,0,0,4,2
2024-02-14,Damian Lillard,Mavericks,Bulls,32.6,33,7.7,7.7,20,10,9,3,5,4
2024-02-14,Jimmy Butler,Raptors,Bucks,32.3,32,6.7,5.8,24,12,6,1,6,4
2024-02-14,Nick Richards,Bucks,Cavaliers,12.7,11,3.4,1.8,8,3,5,1,3,2
2024-02-14,Dereck Lively II,Bucks,Celtics,20.5,4,2.4,2.3,6,2,0,0,0,0
2024-02-14,Isaiah Stewart,Cavaliers,Bulls,28.6,17,4.4,4.6,12,5,5,1,5,4
2024-02-15,Alperen Sengun,Raptors,Lakers,28.9,14,5.7,2.5,10,4,5,1,4,3
2024-02-15,Donovan Mitchell,Warriors,Heat,37.3,36,7.2,9.5,19,10,10,3,8,7
2024-02-15,Caris LeVert,Heat,Suns,30.0,14,5.1,3.0,10,4,6,1,4,3
2024-02-15,Chet Holmgren,Cavaliers,Raptors,31.2,9,6.6,5.0,8,3,2,0,5,3
2024-02-15,Paul George,Lakers,Nets,31.1,18,3.6,2.5,13,5,6,1,5,3
2024-02-15,LaMelo Ball,Nuggets,Lakers,31.1,13,7.8,5.0,13,5,5,1,1,0
2024-02-15,Keldon Johnson,76ers,Bulls,29.8,7,4.4,4.0,8,3,2,0,2,1
2024-02-15,Giannis Antetokounmpo,Nets,Suns,31.5,34,8.8,7.9,19,8,12,4,8,6
2024-02-15,Derrick White,Clippers,Bucks,29.0,13,4.5,4.9,11,5,5,1,3,2
2024-02-15,Theo Maledon,Bulls,Cavaliers,11.8,6,4.6,2.5,8,3,2,0,0,0
2024-02-15,Karl-Anthony Towns,Mavericks,Nuggets,27.1,15,7.7,3.7,13,5,7,2,2,1
2024-02-16,Jimmy Butler,Celtics,Nets,34.2,33,10.3,6.5,23,10,9,2,9,7
2024-02-16,Andre Jackson,Celtics,Bulls,17.4,6,1.8,1.5,3,1,4,1,2,1
2024-02-16,Dwight Powell,Cavaliers,Warriors,15.9,6,5.0,1.1,4,1,1,0,3,2
2024-02-16,Cam Johnson,Warriors,Nets,20.9,17,5.8,5.5,11,5,5,1,6,4
2024-02-16,Grayson Allen,Cavaliers,Suns,15.0,10,4.1,3.9,9,3,4,1,2,1
2024-02-16,Jeremy Sochan,Nuggets,Lakers,9.1,11,1.6,2.2,8,3,5,1,1,0
2024-02-16,Cole Anthony,Mavericks,Warriors,29.8,15,3.8,2.9,10,4,5,1,5,4
2024-02-16,Jock Landale,Nuggets,Mavericks,15.2,2,4.0,1.8,5,1,0,0,0,0
2024-02-16,DeMar DeRozan,Bucks,Lakers,28.9,18,3.2,2.9,10,4,6,2,6,4
2024-02-16,Thanasis Antetokounmpo,76ers,Spurs,20.1,2,3.6,1.0,4,1,1,0,3,2
2024-02-16,AJ Green,Mavericks,Cavaliers,20.0,10,1.9,0.8,6,2,4,1,4,2
2024-02-17,Donovan Mitchell,Mavericks,Warriors,39.1,29,8.9,6.6,21,10,5,2,4,3
2024-02-17,Kyrie Irving,Clippers,Raptors,33.7,33,7.3,6.9,23,10,11,3,6,4
2024-02-17,Kevin Durant,Nuggets,Bucks,36.0,32,6.1,10.0,22,11,7,2,5,4
2024-02-17,Udoka Azubuike,Nuggets,Spurs,21.5,4,4.0,2.7,5,2,3,0,1,0
2024-02-17,Caris LeVert,Celtics,Cavaliers,27.7,18,6.1,2.4,15,6,4,1,4,3
2024-02-17,Spencer Dinwiddie,Lakers,Nets,32.1,17,4.0,3.6,12,5,7,2,2,1
2024-02-17,Evan Mobley,Clippers,76ers,26.3,20,6.8,3.7,15,7,6,2,3,2
2024-02-17,Jordan Poole,76ers,Lakers,25.7,17,5.5,5.7,13,5,6,2,2,1
2024-02-17,Jarrett Allen,Bulls,Mavericks,22.6,19,4.6,5.5,12,5,7,2,5,3
2024-02-17,Stephen Curry,Clippers,Bulls,39.0,28,7.6,5.1,20,8,8,2,8,6
2024-02-17,Jimmy Butler,Suns,Lakers,32.5,33,5.2,4.3,24,11,5,1,10,8
2024-02-18,Brook Lopez,Suns,Heat,21.8,20,4.3,2.5,15,7,6,2,1,0
2024-02-18,Desmond Bane,Nets,Warriors,21.9,16,6.7,3.2,12,5,3,1,4,3
2024-02-18,Chimezie Metu,Raptors,Spurs,17.4,7,2.0,2.4,7,3,2,0,2,1
2024-02-18,Dereck Lively II,Lakers,Suns,19.4,8,3.5,0.7,3,1,4,1,4,3
2024-02-18,Andre Jackson,Bucks,Bulls,14.5,5,2.4,3.1,5,2,1,0,0,0
